name,nID,Region,NRC_Pr_,Perc_tot,lon,lat
Mainland Marina 1,1053,Northland Region,0,0.119474313,173.7419182,-35.06394306
Mainland Marina 2,1054,Northland Region,0,0.17921147,174.1034276,-35.24046385
Mainland Marina 5,1057,Auckland Region,0,0.477897252,174.735756,-36.39353753
Mainland Marina 6,1058,Auckland Region,0,1.553166069,174.7883551,-36.62095278
Mainland Marina 7,1059,Auckland Region,0,0.059737157,174.7690231,-36.74168089
Mainland Marina 8,1060,Auckland Region,0,0.17921147,174.673938,-36.81816769
Mainland Marina 9,1061,Auckland Region,0,30.04778973,174.7806808,-36.84457157
Mainland Marina 10,1062,Auckland Region,0,0.059737157,174.9243674,-36.88052382
Mainland Marina 11,1063,Waikato Region,0,0.477897252,175.7063407,-36.82209969
Mainland Marina 12,1064,Waikato Region,0,0.119474313,175.8601196,-37.00047603
Mainland Marina 13,1065,Waikato Region,0,0.059737157,175.8665103,-37.19703585
Mainland Marina 14,1066,Bay of Plenty Region,0,0.896057348,176.1807249,-37.667248
Mainland Marina 15,1067,Gisborne Region,0,0.059737157,178.0256868,-38.68653852
Mainland Marina 16,1068,Hawke's Bay Region,0,0.119474313,176.8923432,-39.48322706
Mainland Mooring 8,1088,Bay of Plenty Region,0,0.059737157,176.0536736,-37.63516661
Mainland Mooring 11,1091,Bay of Plenty Region,0,0.17921147,177.0272935,-37.93737269
Mainland Mooring 25,1105,Waikato Region,0,0.17921147,175.434167,-36.82463204
Mainland Mooring 26,1106,Waikato Region,0,0.477897252,175.4757936,-36.7642383
Mainland Mooring 27,1107,Waikato Region,0,0.17921147,175.465709,-36.52258606
Mainland Mooring 28,1108,Waikato Region,0,1.493428913,175.7728926,-36.60053899
Mainland Mooring 29,1109,Waikato Region,0,0.418160096,175.8149589,-36.76080981
Mainland Mooring 30,1110,Waikato Region,0,0.358422939,175.7147573,-36.82193521
Mainland Mooring 32,1112,Waikato Region,0,0.119474313,175.8764112,-37.19695687
Mainland Mooring 35,1115,Northland Region,5.95,0.298685783,174.1158118,-35.24542248
Mainland Mooring 36,1116,Northland Region,11.9,0.597371565,174.2344349,-35.23128279
Mainland Mooring 39,1119,Auckland Region,0,0.059737157,174.6263955,-36.08844195
Mainland Mooring 41,1121,Northland Region,4.76,0.238948626,174.5511198,-35.62076887
Mainland Mooring 42,1122,Northland Region,17.86,0.896057348,174.5217148,-35.83060401
Mainland Mooring 44,1124,Northland Region,3.57,0.17921147,173.767753,-35.00289248
Mainland Mooring 46,1126,Northland Region,2.38,0.119474313,174.3886828,-35.39075876
Mainland Mooring 47,1127,Northland Region,1.19,0.059737157,174.3411403,-35.3128583
Mainland Mooring 49,1129,Auckland Region,0,0.059737157,174.80468,-36.30038057
Mainland Mooring 50,1130,Auckland Region,0,12.18637993,175.4843148,-36.32646577
Mainland Mooring 51,1131,Auckland Region,0,3.524492234,175.3949998,-36.26189717
Mainland Mooring 52,1132,Auckland Region,0,6.391875747,175.345222,-36.16394119
Mainland Mooring 53,1133,Auckland Region,0,0.059737157,174.7427249,-36.40368021
Mainland Mooring 54,1134,Auckland Region,0,0.537634409,174.7262661,-36.49824124
Mainland Mooring 55,1135,Auckland Region,0,0.059737157,174.7458767,-36.63214297
Mainland Mooring 56,1136,Auckland Region,0,0.059737157,174.7690231,-36.72254716
Mainland Mooring 57,1137,Auckland Region,0,0.418160096,175.1695681,-36.93554243
Mainland Mooring 58,1138,Auckland Region,0,0.836320191,174.9849346,-36.75476649
Mainland Mooring 59,1139,Auckland Region,0,6.690561529,175.0339161,-36.82694775
Mainland Mooring 60,1140,Auckland Region,0,1.135005974,175.0542783,-36.77993391
Mainland Mooring 61,1141,Auckland Region,0,0.477897252,175.1652109,-36.84364404
Mainland Mooring 62,1142,Auckland Region,0,1.254480287,174.9063578,-36.88621789
Mainland Mooring 63,1143,Auckland Region,0,0.238948626,174.6975767,-36.83036881
Mainland Mooring 64,1144,Auckland Region,0,6.810035842,174.79914,-36.83358315
Mainland Mooring 65,1145,Auckland Region,0,1.672640382,174.8290975,-36.42373967
Mainland MR 2,1185,Bay of Plenty Region,0,0.119474313,176.2608625,-37.26126482
Mainland MR 3,1186,Auckland Region,0,0.17921147,174.8403369,-36.35809371
Mainland MR 19,1203,Northland Region,2.38,0.119474313,174.3933379,-35.793184
Mainland MR 23,1207,Waikato Region,0,0.298685783,175.7916131,-36.81974085
Mainland MR 37,1221,Auckland Region,0,0.059737157,174.7947224,-36.26481851
Mainland CHS 7,1231,Northland Region,1.19,0.059737157,174.578853,-35.74037133
Mainland CHS 10,1234,Waikato Region,0,0.597371565,175.525634,-37.16898707
Mainland CHS 19,1243,Bay of Plenty Region,0,0.059737157,177.9929738,-37.56969905
Mainland CHS 63,1287,Auckland Region,0,0.238948626,175.4310681,-36.10812881
Mainland Beach 10,1376,Waikato Region,0,0.059737157,175.7914444,-36.69344444
Mainland Beach 24,1390,Auckland Region,0,0.119474313,175.4841941,-36.24546418
Mainland Beach 29,1395,Auckland Region,0,0.298685783,175.4821611,-36.15459448
Mainland Beach 69,1436,Waikato Region,0,0.059737157,175.8625014,-36.87548225
Mainland Island 67,1468,Waikato Region,0,0.119474313,176.0817094,-36.9588859
Mainland Island 10,1471,Waikato Region,0,0.17921147,175.7935763,-36.69853323
Mainland Island 11,1472,Waikato Region,0,0.059737157,175.8746827,-36.64255099
Mainland Island 13,1473,Northland Region,5.95,0.298685783,174.7321628,-35.95073586
Mainland Island 12,1474,Auckland Region,0,0.059737157,175.1519787,-35.93326371
Mainland Island 54,1546,Gisborne Region,0,0.059737157,178.3448796,-38.37697426
Mainland Island 63,1556,Waikato Region,0,0.17921147,175.9197145,-37.08604227
Mainland Island 72,1564,Auckland Region,0,0.238948626,175.1703413,-36.72299274
Mainland Island 75,1567,Auckland Region,0,0.537634409,174.8898796,-36.60081384
Mainland Island 76,1568,Waikato Region,0,0.119474313,175.3662661,-36.4419488
Mainland Island 77,1569,Waikato Region,0,0.059737157,175.7716354,-36.43655058
Mainland Island 79,1571,Auckland Region,0,0.238948626,175.4705181,-36.13340149
Mainland Island 80,1572,Auckland Region,0,0.119474313,175.4070954,-36.03903241
Mainland Island 81,1573,Northland Region,1.19,0.059737157,174.6976664,-36.00200544
Mainland Island 87,1577,Northland Region,1.19,0.059737157,173.3674814,-34.77843504
Mainland Oysters 1,1596,Auckland Region,0,0.059737157,174.7276899,-36.49169211
Mainland Oysters 16,1597,Auckland Region,0,0.955794504,175.1699538,-36.80293957
Mainland Oysters 17,1599,Auckland Region,0,0.17921147,175.1250922,-36.83929055
Mainland Oysters 5,1603,Waikato Region,0,0.119474313,175.4346186,-36.81816769
Mainland Oysters 18,1607,Auckland Region,0,0.119474313,174.7452518,-36.41575414
Mainland Mussels 3,1608,Auckland Region,0,0.17921147,175.066164,-36.83727495
Mainland Mussels 29,1625,Auckland Region,0,1.3739546,175.3419631,-36.1619629
Mainland Mussels 18,1627,Waikato Region,0,0.358422939,175.4369037,-36.74994991
Mainland Mussels 20,1629,Marlborough Region,0,0.059737157,174.233087,-41.24473586
Mainland Mussels 22,1632,Waikato Region,0,0.119474313,175.4674524,-36.51428026
Mainland Mussels 58,1640,Auckland Region,0,0.238948626,174.7452518,-36.39653879
Mainland Oysters 11,1658,Bay of Plenty Region,0,0.059737157,177.0748361,-37.95619685
Mainland Salmon 12,1676,Auckland Region,0,0.477897252,174.8178135,-36.41716521
Mainland Oysters 19,1677,Waikato Region,0,0.119474313,175.6961025,-36.82228676
Mainland Mussels 48,1678,Waikato Region,0,0.059737157,175.3993694,-36.69642505
Mainland Aquaculture 3,1679,Northland Region,0,0.059737157,174.091542,-35.22973932
Mainland Oysters 21,1683,Northland Region,20.24,1.015531661,174.1287836,-35.2517752
Mainland Oysters 22,1684,Northland Region,7.14,0.358422939,174.222284,-35.22000934
Mainland Oysters 23,1685,Northland Region,13.1,0.657108722,174.4599966,-35.81785382
Mainland Aquaculture 4,1689,Waikato Region,0,0.119474313,175.4513903,-36.73294846
Mainland Mussels 54,1694,Auckland Region,0,0.418160096,175.1696467,-36.80611424
Sanford,1707,Otago Region,0,0.537634409,170.497812,-45.887513
Moana,1719,Auckland Region,0,0.059737157,174.83404,-36.930539
Homunga Bay,1742,Waikato Region,0,0.119474313,175.9455817,-37.36152647
Smokehouse Bay,1744,Auckland Region,0,4.778972521,175.3353,-36.2057
